GEOID,NAME,UATYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                      
25363,"Eagar, AZ Urban Cluster",C,16104681,10545,6.218,0.004,34.114155,-109.284576                                                                                                         
25390,"Eagle, CO Urban Cluster",C,6360362,43642,2.456,0.017,39.644584,-106.826260                                                                                                          
25417,"Eagle Grove, IA Urban Cluster",C,3574238,0,1.380,0.000,42.664604,-93.903820                                                                                                        
25444,"Eagle Lake, TX Urban Cluster",C,5503892,11319,2.125,0.004,29.586844,-96.331945                                                                                                     
25480,"Eagle Mountain South, UT Urban Cluster",C,4943098,0,1.909,0.000,40.308012,-112.006770                                                                                               
25498,"Eagle Pass, TX Urban Cluster",C,51741579,549885,19.978,0.212,28.701710,-100.471172                                                                                                   
25579,"Earlimart, CA Urban Cluster",C,13034357,0,5.033,0.000,35.923815,-119.278771                                                                                                         
25598,"East Aurora, NY Urban Cluster",C,22156457,61411,8.555,0.024,42.779875,-78.598786                                                                                                   
25660,"Eastland, TX Urban Cluster",C,4237242,0,1.636,0.000,32.398199,-98.825386                                                                                                           
25687,"East Liverpool, OH--WV--PA Urban Cluster",C,62934223,3060520,24.299,1.182,40.642714,-80.568113                                                                                      
25714,"Eastman, GA Urban Cluster",C,14616540,135191,5.643,0.052,32.194206,-83.177141                                                                                                      
25741,"Easton, MD Urban Cluster",C,24849886,208685,9.595,0.081,38.766891,-76.065513                                                                                                       
25768,"East Palestine, OH Urban Cluster",C,8441634,0,3.259,0.000,40.838975,-80.541662                                                                                                     
25795,"East Prairie, MO Urban Cluster",C,5251723,0,2.028,0.000,36.775651,-89.383252                                                                                                       
25802,"East Prospect, PA Urban Cluster",C,6257029,0,2.416,0.000,39.952124,-76.506388                                                                                                      
25813,"East Quincy, CA Urban Cluster",C,5769102,0,2.227,0.000,39.945307,-120.932843                                                                                                        
25849,"East Stroudsburg, PA--NJ Urbanized Area",U,134940349,1259739,52.101,0.486,41.022688,-75.213377                                                                                      
