GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 12:00 a.m. to 4:59 a.m.,Margin of Error; Total: - 12:00 a.m. to 4:59 a.m.,Estimate; Total: - 5:00 a.m. to 5:29 a.m.,Margin of Error; Total: - 5:00 a.m. to 5:29 a.m.,Estimate; Total: - 5:30 a.m. to 5:59 a.m.,Margin of Error; Total: - 5:30 a.m. to 5:59 a.m.,Estimate; Total: - 6:00 a.m. to 6:29 a.m.,Margin of Error; Total: - 6:00 a.m. to 6:29 a.m.,Estimate; Total: - 6:30 a.m. to 6:59 a.m.,Margin of Error; Total: - 6:30 a.m. to 6:59 a.m.,Estimate; Total: - 7:00 a.m. to 7:29 a.m.,Margin of Error; Total: - 7:00 a.m. to 7:29 a.m.,Estimate; Total: - 7:30 a.m. to 7:59 a.m.,Margin of Error; Total: - 7:30 a.m. to 7:59 a.m.,Estimate; Total: - 8:00 a.m. to 8:29 a.m.,Margin of Error; Total: - 8:00 a.m. to 8:29 a.m.,Estimate; Total: - 8:30 a.m. to 8:59 a.m.,Margin of Error; Total: - 8:30 a.m. to 8:59 a.m.,Estimate; Total: - 9:00 a.m. to 9:59 a.m.,Margin of Error; Total: - 9:00 a.m. to 9:59 a.m.,Estimate; Total: - 10:00 a.m. to 10:59 a.m.,Margin of Error; Total: - 10:00 a.m. to 10:59 a.m.,Estimate; Total: - 11:00 a.m. to 11:59 a.m.,Margin of Error; Total: - 11:00 a.m. to 11:59 a.m.,Estimate; Total: - 12:00 p.m. to 3:59 p.m.,Margin of Error; Total: - 12:00 p.m. to 3:59 p.m.,Estimate; Total: - 4:00 p.m. to 11:59 p.m.,Margin of Error; Total: - 4:00 p.m. to 11:59 p.m.
310M100US17700,17700,"Coffeyville, KS Micro Area",14999,393,680,122,664,149,1161,217,1363,202,1685,248,1838,269,2465,280,1160,235,628,198,614,155,275,96,76,47,1291,242,1099,186
310M100US17740,17740,"Coldwater, MI Micro Area",16398,493,1190,169,718,101,955,145,1528,189,1414,166,2188,265,2022,233,1509,208,624,125,760,153,323,98,107,50,1419,198,1641,220
310M100US17780,17780,"College Station-Bryan, TX Metro Area",100307,1549,2896,428,2727,384,3074,388,6792,817,7983,617,16530,978,18292,993,11157,868,4818,516,6834,661,3255,475,1484,323,6570,845,7895,741
310M100US17820,17820,"Colorado Springs, CO Metro Area",290102,2098,11803,858,12105,900,18116,886,25758,956,33283,1354,46713,1516,41118,1666,25399,1117,14774,705,15279,881,8161,697,4110,456,17136,966,16347,1023
310M100US17860,17860,"Columbia, MO Metro Area",86348,1274,2211,364,1766,339,2815,390,5641,512,9416,755,14135,852,15124,844,7969,695,4533,510,4980,538,2897,503,1559,306,6675,598,6627,617
310M100US17900,17900,"Columbia, SC Metro Area",342444,2921,12160,871,11534,914,12882,961,23784,1268,35013,1363,60150,1931,49482,1725,43795,1698,18246,1018,17430,1112,8299,669,3984,536,20334,1160,25351,1363
310M100US17940,17940,"Columbia, TN Micro Area",34996,964,1525,328,1520,296,2303,407,4559,570,3783,395,5297,432,4208,515,2640,400,1033,240,1461,317,779,183,398,180,2954,416,2536,407
310M100US17980,17980,"Columbus, GA-AL Metro Area",117930,1451,5387,587,5999,625,6319,612,9577,773,10880,677,16723,1075,15579,846,12482,649,6646,552,5975,524,3095,424,1686,342,8118,725,9464,627
310M100US18020,18020,"Columbus, IN Metro Area",35525,772,1315,286,918,228,1853,245,3288,390,4407,494,4949,468,6066,459,3002,348,1123,219,1618,226,764,183,385,116,2772,371,3065,353
310M100US18060,18060,"Columbus, MS Micro Area",23864,572,774,187,1121,278,1333,240,2190,325,3678,439,3609,394,2924,332,1941,336,834,228,768,225,539,154,424,151,1922,339,1807,288
310M100US18100,18100,"Columbus, NE Micro Area",16225,376,1053,156,490,126,915,198,1196,246,1600,172,2020,250,2756,290,1042,179,576,158,637,152,220,78,216,108,1781,243,1723,256
